"","Parches","Result"
"1","R1",0
"2","R2",0
"3","R3",0
"4","R4",0
"5","R5",0
"6","R6",0
"7","R7",0
"8","R8",0
"9","R9",0
"10","R10",0
"11","R11",0
"12","R12",0
"13","R13",0
"14","R14",0
"15","R15",0
"16","R16",0
"17","R17",0
"18","R18",0
"19","R19",0
"20","R20",0
"21","R21",0
"22","R22",0
"23","R23",0
"24","R24",0
"25","R25",0
"26","R26",0
"27","R27",0
"28","R28",0
"29","R29",0
"30","R30",0
"31","R31",0
"32","R32",0
"33","R33",0
"34","R34",0
"35","R35",0
"36","R36",0
"37","R37",0
"38","R38",0
"39","R39",0
"40","R40",0
"41","R41",0
"42","R42",0
"43","R43",0
"44","R44",0
"45","R45",0
"46","R46",0
"47","R47",0
"48","R48",0
"49","R49",0
"50","R50",0
"51","R51",0
"52","R52",0
"53","R53",0
"54","R54",0
"55","R55",0
"56","R56",0
"57","R57",0
"58","R58",0
"59","R59",0
"60","R60",0
"61","R61",0
"62","R62",0
"63","R63",0
"64","R64",0
"65","R65",0
"66","R66",0
"67","R67",0
"68","R68",0
"69","R69",0
"70","R70",0
"71","R71",0
"72","R72",0
"73","R73",0
"74","R74",0
"75","R75",0
"76","R76",0
"77","R77",0
"78","R78",0
"79","R79",0
"80","R80",0
"81","R81",0
"82","R82",0
"83","R83",0
"84","R84",0
"85","R85",0
"86","R86",0
"87","R87",0
"88","R88",0
"89","R89",0
"90","R90",0
"91","R91",0
"92","R92",0
"93","R93",0
"94","R94",0
"95","R95",0
"96","R96",0
"97","R97",0
"98","R98",0
"99","R99",0
"100","R100",0
"101","R101",0
"102","R102",0
"103","R103",0
"104","R104",0
"105","R105",0
"106","R106",0
"107","R107",0
"108","R108",0
"109","R109",0
"110","R110",0
"111","R111",0
"112","R112",0
"113","R113",0
"114","R114",0
"115","R115",0
"116","R116",0
"117","R117",0
"118","R118",0
"119","R119",0
"120","R120",0
"121","R121",0
"122","R122",0
"123","R123",0
"124","R124",0
"125","R125",0
"126","R126",0
"127","R127",0
"128","R128",0
"129","R129",0
"130","R130",0
