"FID" "Sub_Uso" "TIPO" "NAME" "Sup_ha" "Clase" "DistASP" "DistAPP" "DistPoly" "Costo" "Parche"
"1" 0 "Praderas" " " " " 3.671443229 " " 15056.2998 9211.129883 9119.169922 60 "R1"
"2" 1 "Plantaciones" " " " " 1.773500057 " " 15238.2998 9355.099609 8854.950195 50 "R2"
"3" 2 "Plantaciones" " " " " 3.401476997 " " 14701.59961 8822.299805 8959.759766 50 "R3"
"4" 3 "Plantaciones" " " " " 0.548578175 " " 17190.90039 11399.09961 8516.179688 50 "R4"
"5" 4 "Praderas" " " " " 5.978251223 " " 15288.7998 9375.679688 8210.299805 60 "R5"
"6" 5 "Praderas" " " " " 4.25177189 " " 13411.2998 7442.149902 8683.290039 60 "R6"
"7" 6 "Praderas" " " " " 3.765423458 " " 13956.90039 7987.27002 8344.669922 60 "R7"
"8" 7 "Matorral" " " " " 2.522226436 " " 14618.7998 8650.259766 7926.120117 30 "R8"
"9" 8 "Matorral" " " " " 4.679385442 " " 13724.2998 7754.410156 8575.419922 30 "R9"
"10" 9 "Plantaciones" " " " " 34.26533457 " " 15305.5 9352.480469 7301.529785 50 "R10"
"11" 10 "Matorral" " " " " 0.563723339 " " 15829.5 9865.679688 7433.290039 30 "R11"
"12" 11 "Matorral Arborescente" " " " " 1.369529638 " " 16452.69922 10550.59961 7823.700195 20 "R12"
"13" 12 "Matorral" " " " " 12.86583899 " " 15986.7998 10025.59961 7028.910156 30 "R13"
"14" 13 "Matorral" " " " " 1.327429614 " " 15599.5 9633.259766 7492.779785 30 "R14"
"15" 14 "Matorral" " " " " 5.791449231 " " 15112.7002 9145 7658.439941 30 "R15"
"16" 15 "Plantaciones" " " " " 37.8837588 " " 14128.09961 8158.669922 7518.810059 50 "R16"
"17" 16 "Matorral" " " " " 1.18408864 " " 14072.90039 8104.819824 8166.959961 30 "R17"
"18" 17 "Plantaciones" " " " " 8.045773482 " " 15471.40039 9583.80957 7774.169922 50 "R18"
"19" 18 "Plantaciones" " " " " 7.625487572 " " 10820.2998 4850.620117 10140.2002 50 "R19"
"20" 19 "Matorral" " " " " 1.563140132 " " 17826.30078 12269.40039 9969.410156 30 "R20"
"21" 20 "Bosque Mixto" " " " " 1.879530728 " " 17848.30078 12314.2002 10123.09961 10 "R21"
"22" 21 "Plantaciones" " " " " 7.600231862 " " 14211.59961 8599.400391 10188.40039 50 "R22"
"23" 22 "Plantaciones" " " " " 4.381810931 " " 14401 8706.580078 10068.90039 50 "R23"
"24" 23 "Bosque Mixto" " " " " 2.191251849 " " 15715.40039 9824.280273 8103.930176 10 "R24"
"25" 24 "Matorral Arborescente" " " " " 4.036236392 " " 14964.2002 9036.360352 8323.400391 20 "R25"
"26" 25 "Bosque Mixto" " " " " 5.604435593 " " 15001.40039 9068.599609 8345.360352 10 "R26"
"27" 26 "Matorral-Pradera" " " " " 4.605963377 " " 15339.2998 9442.910156 7986.72998 40 "R27"
"28" 27 "Matorral" " " " " 2.536667473 " " 15080.7998 9138.839844 8177.779785 30 "R28"
"29" 28 "Bosque Mixto" " " " " 6.920882556 " " 15789.5 9905.230469 7732.029785 10 "R29"
"30" 29 "Matorral" " " " " 5.282525488 " " 16105 10180.2002 7583.879883 30 "R30"
"31" 30 "Matorral" " " " " 11.64155306 " " 15327.7998 9387.429688 7590.319824 30 "R31"
"32" 31 "Matorral" " " " " 17.49281118 " " 14828.7998 9016.379883 9174.370117 30 "R32"
"33" 32 "Bosque Mixto" " " " " 6.950780026 " " 15001.40039 9137.379883 8822.839844 10 "R33"
"34" 33 "Bosque Mixto" " " " " 19.52212091 " " 17908.30078 12346.09961 9976.990234 10 "R34"
"35" 34 "Matorral Arborescente" " " " " 6.553023119 " " 16252.2002 10291.2002 6748.279785 20 "R35"
"36" 35 "Matorral" " " " " 8.832203599 " " 13211.09961 7242.490234 8716.740234 30 "R36"
"37" 36 "Matorral-Pradera" " " " " 12.99283835 " " 12684.7002 6714.049805 9188.870117 40 "R37"
"38" 37 "Matorral" " " " " 6.279871082 " " 12144.09961 6172.720215 9679.280273 30 "R38"
"39" 38 "Matorral" " " " " 2.23010724 " " 11417.7002 5447.209961 10584.59961 30 "R39"
"40" 39 "Matorral" " " " " 1.256235367 " " 10853 4883.089844 11078 30 "R40"
"41" 40 "Matorral Arborescente" " " " " 5.908712211 " " 17245.69922 11503.7998 8714.650391 20 "R41"
"42" 41 "Rotacion Cultivo-Pradera" " " " " 0.998567809 " " 23778.69922 17823 2306.98999 70 "R42"
"43" 42 "Terrenos de Uso Agricola" " " " " 4.551059891 " " 17345.90039 11381 5386.540039 80 "R43"
"44" 43 "Terrenos de Uso Agricola" " " " " 1.912761039 " " 23868.40039 17913 2558.610107 80 "R44"
"45" 44 "Terrenos de Uso Agricola" " " " " 2.632806367 " " 24380.59961 18426.19922 2669.919922 80 "R45"
"46" 45 "Rotacion Cultivo-Pradera" " " " " 0.921974437 " " 14469.90039 8506.410156 7911.350098 70 "R46"
"47" 46 "Plantaciones" " " " " 0.559969753 " " 19580.69922 13635.90039 3371.77002 50 "R47"
"48" 47 "Plantaciones" " " " " 1.895621549 " " 19805.5 13859.59961 3119.649902 50 "R48"
"49" 48 "Plantaciones" " " " " 0.511134227 " " 25126.59961 19173.19922 2795.169922 50 "R49"
